word,type,meanings
a,noun,The name of the Latin-script letter A.
aba,noun,father
abade,noun,abbot | priest
abadegai,noun,seminarist
abadesa,noun,abbess
abadia,noun,abbey
abagune,noun,occasion
abako,noun,abacus
abantaila,noun,advantage
abendu,noun,December
abentura,noun,adventure
abenturazale,adjective,adventurous
abenturazale,noun,adventurer
aberastasun,noun,wealth | (in the plural) goods | abundance
aberats,adjective,"rich, wealthy | abundant | costly, expensive"
aberats,noun,"rich, wealthy person"
abere,noun,"(Navarro-Lapurdian, Souletin) cattle (large, domesticated animal) | (Gipuzkoan) equine | (Upper Navarrese) bovine"
aberri,noun,fatherland
abertzale,adjective,Basque nationalist
abertzale,noun,patriot | Basque nationalist
abertzaletasun,noun,"patriotism, nationalism"
abesbatza,noun,choir
abeslari,noun,singer
abeste,noun,Verbal noun of abestu.
abesti,noun,song
abestu,verb,to sing
abizen,noun,surname
abkhazera,noun,the Abkhaz language
abkhaziar,adjective,Abkhaz
abkhaziar,noun,an Abkhaz person (male or female)
abokatu,noun,lawyer
abstraktu,adjective,abstract
aburu,noun,opinion
abuztu,noun,August
adar,noun,horn | branch
adberbio,noun,adverb
adibide,noun,example | instance | pattern
adibidez,adverb,for example
adibidez,noun,instrumental indefinite of adibide
adimen,noun,intelligence
adiskide,noun,friend
adiskidetasun,noun,friendship
aditu,verb,"to understand, to comprehend | to hear"
aditz,noun,(grammar) verb
aditzondo,noun,(grammar) adverb
adizki,noun,verb form
adizkitegi,noun,"conjugation table, paradigm"
administratzaile,noun,administrator
adore,noun,energy | courage
ados,adjective,"drawn, tied | agreeing, in agreement"
ados,interjection,okay
ados,noun,Verbal noun of adostu.
adoste,noun,"Verbal noun of adostu. | draw, tie"
adostu,verb,"to agree | to tie, draw (to have the same score or position)"
adreilu,noun,brick
adur,noun,"destiny, fate, fortune, luck"
aerolabaingailu,noun,hovercraft
afaldu,verb,to have dinner
afari,noun,dinner
afganistandar,adjective,Afghan
afganistandar,noun,an Afghan person (male or female)
agata,noun,agate
agate,noun,(Biscayan) Alternative form of ahate.
agi,noun,(Souletin) Alternative form of haragi
-ago,suffix,Used to form the comparative form of adjectives and adverbs.
agor,adjective,dry | barren
agor,noun,drought | September
agorril,noun,August
agur,interjection,goodbye | (Christianity) hail
agur,noun,"greeting, greetings | veneration | (Christianity) salutation"
ahabe,noun,(Souletin) Alternative form of ahabia.
ahabia,noun,"bilberry, whortleberry"
ahai,noun,(Souletin) Alternative form of ahari
ahal,noun,"power, capacity | capability, might"
ahal,particle,hopefully (used with periphrastic verbs in the future tense)
ahala,adverb,just after | to the maximum extent
ahala,noun,absolutive singular of ahal
ahalke,noun,"(Northern, Navarrese) shame"
ahari,noun,"A male sheep or goat; a billy, a ram"
ahate,noun,duck
ahazte,noun,Verbal noun of ahaztu.
ahaztu,verb,to forget
ahizpa,noun,sister (of a female)
aho,noun,mouth
ahots,noun,voice
ahuntz,noun,"she-goat, nanny goat"
aihen,noun,vine shoot
ainarba,noun,spider
aingeru,noun,angel
aingira,noun,eel
aingura,noun,(nautical) anchor
aintzira,noun,lake
